Units used: mil

Designator Comment                    Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                        
C24        "CAP 4.7uF 10V 0603(1608)" TopLayer    CAPC0603(1608)55_N       917.323       433.071       270      "CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 0.55mm SMD"                                                                       
C23        "CAP 100nF 35V 0402(1005)" TopLayer    CAPC0402(1005)60_L       259.842       665.354       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C22        "CAP 100nF 35V 0402(1005)" TopLayer    CAPC0402(1005)60_L       259.842       700.787       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C21        "CAP 100nF 35V 0402(1005)" TopLayer    CAPC0402(1005)60_L       668.992       576.898       90       "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C20        "CAP 1uF 6.3V 0402(1005)"  TopLayer    CAPC0402(1005)60_L       704.425       576.898       90       "CAP 1uF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                         
C19        "CAP 100nF 35V 0402(1005)" TopLayer    CAPC0402(1005)60_L       669.291       850.394       270      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C18        "CAP 1uF 6.3V 0402(1005)"  TopLayer    CAPC0402(1005)60_L       633.858       850.394       270      "CAP 1uF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                         
C17        "CAP 100nF 35V 0402(1005)" TopLayer    CAPC0402(1005)60_L       259.842       629.921       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C16        "CAP 1uF 6.3V 0402(1005)"  TopLayer    CAPC0402(1005)60_L       259.842       594.488       360      "CAP 1uF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                         
C15        "CAP 18pF 10V 0402(1005)"  TopLayer    CAPC0402(1005)60_M       133.858       657.480       0        "CAP 18pF 10V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                         
C14        "CAP 18pF 10V 0402(1005)"  TopLayer    CAPC0402(1005)60_M       133.857       484.252       0        "CAP 18pF 10V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                         
C13        "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       322.835       929.134       270      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C12        "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       632.874       303.150       90       "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C11        "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       167.323       625.984       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C10        "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       165.354       531.496       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C9         "CAP 4.7uF 10V 0603(1608)" BottomLayer CAPC0603(1608)55_N       139.763       578.740       360      "CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 0.55mm SMD"                                                                       
C8         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       622.047       929.134       270      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C7         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       586.614       929.134       270      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C6         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       167.323       696.000       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C5         "CAP 10uF 6.3V 0402(1005)" BottomLayer CAPC0402(1005)60_N       158.000       736.000       360      "CAP 10uF 6.3V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C4         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       167.323       661.417       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C3         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       314.961       307.087       360      "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C2         "CAP 10uF 6.3V 0402(1005)" BottomLayer CAPC0402(1005)60_N       314.961       267.716       360      "CAP 10uF 6.3V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
C1         "CAP 100nF 35V 0402(1005)" BottomLayer CAPC0402(1005)60_L       598.425       303.150       90       "CAP 100nF 35V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                        
